公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京基调网络股份有限公司,听云,150-500人,上市公司,朝阳区,Python研发工程师,3-5年,本科,17k-24k,上市公司 带薪年假 地铁周边
爱笔（北京）智能科技有限公司,Aibee,50-150人,天使轮,海淀区,Python开发工程师,3-5年,本科,18k-36k,"初创公司,技术驱动"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
北京东方车云信息技术有限公司,易到用车,500-2000人,D轮及以上,东城区,Python工程师,5-10年,本科,20k-35k,年底双薪 弹性上班
绫致时装（天津）有限公司,绫致时装（天津）有限公司,2000人以上,不需要融资,朝阳区,Python 开发工程师,5-10年,本科,18k-20k,发展前景好
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python开发工程师,不限,大专,10k-20k,五险一金 带薪假 海外旅游 节假福利
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（中高级）,3-5年,本科,15k-25k,"管理扁平化,发展机会佳,薪资待遇好"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,Python开发工程师,3-5年,本科,15k-28k,"弹性工作制,扁平化管理,绩效奖金"
小叶子（北京）科技有限公司,The ONE,500-2000人,C轮,朝阳区,Python开发工程师,3-5年,本科,20k-30k,"五险一金,交通补助,午晚餐"
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,python工程师(J11548),3-5年,本科,25k-40k,五险一金
北京天桐互动信息技术有限公司,天桐互动,15-50人,A轮,朝阳区,高级Python工程师,1-3年,本科,20k-35k,"期权激励,扁平化管理,五险一金,年底双薪"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,Python研发工程师,1-3年,本科,15k-25k,"六险一金,节日福利,带薪休假,餐补"
达而观信息科技（上海）有限公司,达观数据,50-150人,B轮,海淀区,Python高级开发工程师,3-5年,本科,18k-36k,"团队技术强,发展空间大,人工智能"
北京右划网络科技有限公司,右划,50-150人,A轮,朝阳区,高级python开发工程师,3-5年,本科,30k-60k,"短视频,大牛云集,工程师文化,一年15薪"
北京智水互娱科技有限公司,智水互娱,15-50人,不需要融资,东城区,Python开发工程师,1-3年,大专,20k-40k,"海外,高薪"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师,3-5年,本科,20k-40k,"上市公司,六险一金,发挥空间,团队氛围"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,Python开发工程师,3-5年,不限,20k-40k,"优秀团队,优秀项目"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python工程师（ai）,不限,本科,20k-40k,人工智能；技术驱动；大牛带队；福利多多
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,高级Python研发工程师,3-5年,本科,25k-35k,"扁平化管理,福利待遇佳,学习氛围好,晋升空间大"
会找房（北京）网络技术有限公司,会分期,150-500人,D轮及以上,海淀区,Python开发工程师(J10100),3-5年,大专,15k-30k,"五险一金,十四薪,弹性工作"
乐飞天下信息技术(北京)有限公司,乐飞天下,50-150人,未融资,朝阳区,Python中高级开发工程师,5-10年,大专,15k-30k,五险一金 带薪假 海外旅游 节假福利
北京汇游科技有限公司,汇游科技,15-50人,不需要融资,朝阳区,中高级Python开发工程师,3-5年,本科,20k-30k,"五险一金,全勤奖,餐补,年终奖金"
北京源清慧虹信息科技有限公司,源清慧虹,50-150人,B轮,海淀区,高级python研发工程师,3-5年,本科,20k-30k,"二次医疗,健身场所,福利补助"
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
北京新工场投资顾问有限公司,她理财,50-150人,A轮,朝阳区,高级python开发工程师,1-3年,本科,15k-30k,互联网金融 无天花板 六险一金 期权激励
北京诸葛找房信息技术有限公司,诸葛找房网,150-500人,B轮,朝阳区,Python工程师,3-5年,不限,20k-40k,"六险一金,住房补贴,节日福利,一日三餐"
中云网安科技（北京）有限公司,中云网安,15-50人,A轮,朝阳区,资深python研发工程师,5-10年,本科,28k-40k,"技术前沿,人工智能"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,"六险一金,水果零食多,按摩椅,大牛云集"
北京朗势科技有限公司,tataUFO,50-150人,B轮,海淀区,高级Python工程师,3-5年,本科,25k-35k,"8天年假,五险一金,扁平化管理,年终奖"
深圳码隆科技有限公司,码隆科技,50-150人,B轮,海淀区,python工程师(北京),1-3年,本科,15k-25k,发展前景广阔
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深python开发工程师,3-5年,本科,20k-30k,发挥空间 晋升空间 牛人多 团队优秀
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
上海福萝电子科技有限公司,Cobo Wallet,15-50人,A轮,朝阳区,"Python, nodejs，golang工程师",3-5年,本科,30k-60k,"股权激励,成长空间,大牛团队,良好环境"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,Java/Python开发工程师（19届）,应届毕业生,本科,12k-24k,"每日下午茶,舒适的环境,可爱的伙伴"
北京数字联盟网络科技有限公司,数盟网络,50-150人,B轮,海淀区,Python工程师,不限,本科,8k-16k,"爆发式成长,成长空间,环境个性化,福利丰厚"
图玛深维医疗科技（北京）有限公司,图玛深维,50-150人,B轮,朝阳区,python工程师,1-3年,本科,10k-20k,超长带薪年假 五险一金 地铁周边
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴"
北京深海巨鲸信息科技有限公司,鲸媒体,15-50人,A轮,海淀区,资深Python 工程师,1-3年,不限,14k-20k,"五险一金,员工福利,餐补,双休"
北京格上添富科技发展有限公司,格上添富,150-500人,不需要融资,朝阳区,高级Python研发工程师,5-10年,本科,20k-35k,"水果零食,扁平化管理,弹性工作"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python后端开发工程师,不限,本科,20k-30k,福利待遇
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京图森智途科技有限公司,图森未来,150-500人,C轮,朝阳区,Python后端工程师,1-3年,本科,15k-30k,"行业前沿,大牛云集,发展空间大,薪酬福利好"
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,高级Python工程师,5-10年,本科,25k-35k,纽交所上市 美资 生命科学 股票
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（数据）,1-3年,本科,20k-30k,"上市公司,丰富福利,数据驱动,免费旅游"
上海诺誉投资管理有限公司,诺誉投资,150-500人,B轮,海淀区,高级python研发工程师,5-10年,本科,20k-25k,"即将b轮,团队背景好"
盛和（北京）资讯科技有限公司,盛和资讯,15-50人,A轮,西城区,Python算法工程师（初中级）,1-3年,本科,15k-25k,"高收入,热门领域,发展前景"
图玛深维医疗科技（北京）有限公司,图玛深维,50-150人,B轮,朝阳区,高级python工程师,3-5年,本科,20k-30k,超长带薪年假 五险一金 地铁周边
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python开发工程师,3-5年,本科,10k-18k,"一日三餐,六险一金,14薪,定期团建"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,高级python后端工程师,3-5年,本科,20k-35k,"领导好,不打卡,氛围好"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python后端工程师-经理级,3-5年,本科,20k-30k,"七险一金,14薪,晋升空间,部门负责人"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
北京百乘金科科技有限公司,百乘集团,2000人以上,上市公司,朝阳区,Python量化系统工程师,3-5年,本科,20k-40k,"五险一金,绩效奖金,餐补,带薪年假"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-18k,"七险一金,带薪年假,弹性工作,职位晋升"
北京优虎商务服务有限公司,老虎集团,150-500人,C轮,朝阳区,python开发工程师,1-3年,本科,20k-40k,"6险一金,期权股票,团队氛围好,地铁周边"
北京智分科技有限公司,NewsJet,50-150人,不需要融资,海淀区,高级Python开发工程师,3-5年,本科,25k-45k,"Geek范,清华系,福利待遇好,股票期权"
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,Python工程师,3-5年,大专,15k-30k,"机会多多,K12,平台好"
北京首都在线科技股份有限公司,CDS,150-500人,上市公司,海淀区,python研发工程师,5-10年,本科,15k-30k,"薪酬福利好,云计算公司"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,python实习生,不限,硕士,6k-8k,班车，饭补，带薪年假
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-50k,大牛多
北京车势科技有限公司,车势科技,150-500人,A轮,朝阳区,Python后端开发,1-3年,本科,10k-18k,五险一金、年底双薪、带薪年假
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,Python工程师,3-5年,本科,15k-25k,"五险一金,绩效奖金,免费早餐,交补餐补"
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,3-5年,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金
北京点石经纬科技有限公司,新东方教育行业研究院,150-500人,B轮,海淀区,高级python工程师,5-10年,大专,20k-30k,"机会多多,平台好,领导好"
北京爱选信息科技有限公司,爱选科技,少于15人,天使轮,朝阳区,Python开发工程师,3-5年,本科,15k-25k,"金融科技类,公司氛围好"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
北京棕榈创想科技有限公司,PALMAX,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"14薪,技术新,大牛多,年度体检"
北京小龙虾科技有限公司,聚宽 JoinQuant,50-150人,B轮,朝阳区,python工程师,不限,本科,15k-25k,"免费中晚餐,下午茶,六险一金,扁平化管理"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,python开发工程师,5-10年,大专,20k-30k,"七险一金,绩效奖金"
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,python研发工程师,1年以下,硕士,15k-30k,"飞速发展,技术氛围浓,大牛担任导"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,资深Python研发工程师（devops经验优先）,5-10年,本科,20k-35k,"上市公司,大数据企业,年终奖金,带薪年假"
锐波（北京）科技有限公司,波场TRON,150-500人,不需要融资,海淀区,高级 Python 工程师,3-5年,本科,20k-40k,"区块链技术,国际化团队,技术大牛,发展前景好"
人人贷商务顾问（北京）有限公司,人人贷,2000人以上,A轮,海淀区,Python开发高级工程师,3-5年,本科,30k-60k,"五险一金,节假日礼金,竞争力薪酬"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,Python,3-5年,本科,25k-30k,"核心项目,中间件团队,底层方向,等你来挑战"
南京云孚智能科技有限公司,云孚科技,少于15人,未融资,海淀区,Python研发工程师,不限,本科,6k-12k,"大牛直接带,顶级挑战,高速成长"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,Python开发工程师,不限,本科,20k-40k,优秀的团队
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,Python开发工程师,3-5年,本科,15k-25k,"团队优秀,福利优厚"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,Python中级工程师,3-5年,本科,15k-25k,"六险一金,晋升空间大,超长年假,团队氛围好"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
北京高域海汇科技有限公司,高域海汇,50-150人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,12k-20k,"核心业务,行业大牛,弹性作息,超多福利"
瞬联软件科技（北京）有限公司,瞬联软件科技（北京）有限公司,500-2000人,不需要融资,顺义区,初中级Python研发-车载系统方向,不限,本科,10k-20k,500强外企 七险一金 年度调薪 不加班
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,golang/python高级工程师,3-5年,本科,25k-45k,福利待遇好
北京东方车云信息技术有限公司,易到用车,500-2000人,D轮及以上,东城区,高级大数据开发工程师（Python）,5-10年,本科,20k-35k,年底双薪 弹性上班
无锡信成网络科技有限公司,黑牛保,15-50人,A轮,大兴区,python开发工程师,5-10年,本科,15k-20k,"五险一金,周末双休,节日福利,员工旅游"
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,Python软件工程师,1-3年,本科,15k-25k,纽交所上市 美资 生命科学 股票
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级Python研发工程师（DevOps经验优先）,3-5年,本科,15k-25k,"上市公司,大数据企业,年终奖金,带薪年假"
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深Python开发,5-10年,本科,30k-45k,"三餐,健身房,mac"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划"
智线云科技（北京）有限公司,ZingFront智线,50-150人,A轮,朝阳区,高级Python工程师,3-5年,本科,15k-25k,"带薪年假,福利多,办公环境好,团队氛围好"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级Python开发工程师,3-5年,本科,25k-40k,"优秀团队,工场项目,六险一金,金融科技"
北京春雨天下软件有限公司,春雨医生,150-500人,C轮,海淀区,Python,3-5年,本科,20k-40k,有挑战，自主加薪，技术氛围好
北京快乐茄信息技术有限公司,茄子快传,150-500人,B轮,海淀区,高级Python工程师(000397)(BJ),1-3年,本科,15k-30k,"弹性工作,技术驱动,千万级用户,福利待遇"
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,Python工程师,1-3年,本科,20k-40k,"技术驱动,极客氛围,大牛团队"
北京摩尔妈咪网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,10k-20k,"大牛带队,注重成长,季度奖金,免费午餐"
北京阿姨多多网络科技有限公司,阿姨多多,少于15人,不需要融资,昌平区,python 实习生,不限,本科,3k-5k,"初创团队,有活力,家的感觉"
北京快松果科技有限公司,松果出行,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,30k-45k,"大牛多,快速发展期,业务好,17薪"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python高级工程师,5-10年,本科,25k-30k,"团队氛围好,高速发展,福利多多"
北京仁信智清科技有限公司,智清金科,15-50人,A轮,海淀区,Python,不限,本科,20k-35k,"领导好,大牛云集,薪资待遇,职业发展"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python 开发工程师,1-3年,本科,18k-36k,"一日三餐,免费健身,弹性工时"
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,高级Python开发工程师,5-10年,本科,25k-40k,"前沿技术,弹性工作,丰富下午茶"
北京琳云信息科技有限责任公司,琳云科技,15-50人,天使轮,朝阳区,Python工程师,5-10年,大专,20k-30k,"扁平管理,帅哥美女"
拉扎斯网络科技（上海）有限公司,饿了么,2000人以上,D轮及以上,朝阳区,高级python开发（微服务中间件）,1-3年,本科,15k-30k,中间件 出国团建 带薪假 补充医疗
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,系统开发工程师（Python）,3-5年,本科,20k-35k,"五险一金,餐补,生日会,优秀团队"
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python工程师,3-5年,本科,17k-34k,"地铁周边,零食水果,福利优厚,五险一金"
北京粉笔蓝天科技有限公司,粉笔网,150-500人,不需要融资,朝阳区,Python开发工程师,1-3年,本科,25k-40k,"技术大牛多,福利待遇好"
炫一下（北京）科技有限公司,一下科技,500-2000人,D轮及以上,朝阳区,Python研发工程师,3-5年,本科,35k-55k,"硕士最好,不加班,18薪,有期权"
紫梧桐（北京）资产管理有限公司,蛋壳公寓,2000人以上,B轮,东城区,Python开发工程师,5-10年,本科,20k-40k,技术大牛团
零氪信息技术（北京）有限公司,LinkDoc,500-2000人,D轮及以上,海淀区,高级python后端研发工程师,不限,本科,26k-52k,"15薪,六险一金,午晚餐补助,弹性不打卡"
途家网网络技术（北京）有限公司,途家网,500-2000人,D轮及以上,朝阳区,Python开发工程师,3-5年,本科,14k-28k,发展前景好
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,Python开发工程师（反Spam方向）,1-3年,本科,15k-30k,"技术氛围好,核心业务"
遨游酒店信息技术(深圳)有限责任公司,遨游酒店信息技术(深圳)有限责任公司,500-2000人,不需要融资,朝阳区,高级Python研发工程师,3-5年,本科,15k-30k,"弹性上下班,高速发展,高速成长"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发实习生,应届毕业生,本科,5k-8k,"有大牛,有美女,有零食,有健身"
深圳市麦达数字股份有限公司,麦达数字,500-2000人,上市公司,朝阳区,PYTHON研发工程师,3-5年,本科,25k-35k,"上市公司,五险一金,薪酬福利好,发展空间大"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,python兼职讲师,5-10年,不限,18k-36k,"时间自由,分成丰厚,持续分成"
